stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
25,0.5,4.0,28.661648399895057,,28.647083699936047,28.661648399895057,29.162467799847946,29.162467799847946,29.162467799847946,29.462324099848047,29.696615200024098,right,4.0,1,1,0.5187025999184698,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
26,0.5,4.0,29.711239099968225,,29.696724999928847,29.711239099968225,30.19611979997717,30.19611979997717,30.21309440000914,30.495726499939337,30.563536599976942,right,4.0,1,1,0.35688139987178147,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
27,0.5,3.5,30.578812999883667,,30.563633899902925,30.578812999883667,31.07923259981908,31.07923259981908,31.07923259981908,31.38033299986273,31.81319209979847,right,3.5,0,0,0.722040600143373,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
28,0.5,4.0,31.82825389993377,,31.81329909991473,31.82825389993377,32.312167699914426,32.312167699914426,32.32844589999877,32.61217399989255,32.730305599980056,left,-4.0,1,1,0.4095922999549657,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
29,0.5,4.0,32.74545459984802,,32.73040409991518,32.74545459984802,33.24613350001164,33.24613350001164,33.24613350001164,33.54634279990569,33.612460299860686,left,-4.0,1,1,0.35610520001500845,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
30,0.5,4.0,33.62842239998281,,33.61254719994031,33.62842239998281,34.11231569992378,34.11231569992378,34.128797199809924,34.412396299885586,34.54650439997204,right,4.0,1,1,0.4269312999676913,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
31,0.5,3.5,34.561169099994004,,34.546605999814346,34.561169099994004,35.04596779984422,35.04596779984422,35.062106099911034,35.34555420000106,35.46619179984555,left,-3.5,1,1,0.40711600007489324,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
32,0.5,3.5,35.47954420000315,,35.4663621999789,35.47954420000315,35.97895039990544,35.97895039990544,35.97895039990544,36.27882769983262,36.48073059995659,left,-3.5,1,1,0.4886797999497503,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
33,0.5,3.5,36.49528279993683,,36.480848599923775,36.49528279993683,36.98010079981759,36.98010079981759,36.99673839984462,37.28204849991016,37.58222520002164,left,-3.5,1,1,0.5898008001968265,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
34,0.5,3.0,37.59728699992411,,37.582388299982995,37.59728699992411,38.096231899922714,38.096231899922714,38.096231899922714,38.396530699916184,38.58327449997887,right,3.0,1,1,0.4832893998827785,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
